feature,raw_weight,calibration_strength,calibrated_weight,feature_scale
metric_max_z,0.640452443039265,0.08819087296856135,0.2746754692687654,4.044489908218383
metric_mean_z,0.0,0.0,0.041666666666666664,1.9676985502243016
metric_anomaly_count,1.859282777771517,1.1853589684395451,3.6918676496618765,2.645956683158875
metric_value_delta,0.0,0.0,0.041666666666666664,12.0
metric_count_drop_shift,1.7161257095679943,27.377224164773814,24.0,0.1317453384399414
trace_duration_z,0.0,0.0,0.041666666666666664,0.9246545061469076
trace_duration_delta,0.0,0.0,0.041666666666666664,12.0
trace_count_delta,0.0,0.0,0.041666666666666664,8.815169954299927
trace_count_rise_shift,1.0671084525420746,0.7034749321262322,2.1910125231379465,1.5493629842996595
trace_count_drop_shift,0.0,0.0,0.041666666666666664,2.042094039916992
trace_endpoint_shift,1.070047513930599,1.1297726083124287,3.518740782459857,1.0122468635439867
trace_error_rate,0.5376464297885902,0.28906368346441746,0.9003052156253302,1.0
trace_status_code_shift,1.391514486940524,3.881634491992267,12.089570493285416,0.531396797299385
trace_self_duration_relative_shift,0.8431368484857832,0.1684280333981592,0.5245786503116565,3.702788233757019
log_count_delta,0.0,0.0,0.041666666666666664,8.37371368408203
log_error_rate,0.38006692935788455,0.32107298552484875,1.0,0.48378374353051135
log_template_delta,0.5750536951066597,0.03772389134603804,0.11749319639698706,7.196000623703002
topology_in_degree,0.0,0.0,0.0,1.8842498540878292
topology_out_degree,0.0,0.0,0.0,2.1251342058181746
abnormal_metric_rows,0.0009044239512920518,9.349754986449419e-08,0.041666666666666664,7.183111667633057
abnormal_trace_rows,0.0,0.0,0.041666666666666664,8.734732007980346
